1.015718147790444312e-10 -2.022651018895871289e-08
1.031683421231330625e-10 -2.054443443144648995e-08
1.047899588266950018e-10 -2.086735439998932407e-08
1.064370643558314324e-10 -2.119535025268959316e-08
1.081100599151601279e-10 -2.152850220316082641e-08
1.098093494919369884e-10 -2.186688963234928451e-08
1.115353530555917032e-10 -2.221059686169368774e-08
1.132884857871427202e-10 -2.255970632525361452e-08
1.150691730005416908e-10 -2.291430284406814621e-08
1.168778511013028400e-10 -2.327447334860011097e-08
1.187149536739177768e-10 -2.364030415868967339e-08
1.205809382453695552e-10 -2.401188647915830643e-08
1.224762516012674162e-10 -2.438930890580337518e-08
1.244013512971449017e-10 -2.477266319855786492e-08
1.263567131363411814e-10 -2.516204344882311261e-08
1.283428100877191949e-10 -2.555754397004506018e-08
1.303601214158898828e-10 -2.595926024140382538e-08
1.324091480836520362e-10 -2.636729234950507816e-08
1.344903746371818675e-10 -2.678173671721850724e-08
1.366043165057984901e-10 -2.720269576261813427e-08
1.387514883449861356e-10 -2.763027173724452723e-08
1.409324058111640537e-10 -2.806456778081667380e-08
1.431476087984309748e-10 -2.850569114087875278e-08
1.453976264350423271e-10 -2.895374745515155723e-08
1.476830081357204657e-10 -2.940884591406955906e-08
1.500043181897260974e-10 -2.987109837260248923e-08
1.523621084846291781e-10 -3.034061601958626397e-08
1.547569623088894369e-10 -3.081751387412623444e-08
1.571894620091593597e-10 -3.130190828759538135e-08
1.596601888530666092e-10 -3.179391522278862681e-08
1.621697581926619677e-10 -3.229365669321637711e-08
1.647187681253454318e-10 -3.280125276949874547e-08
1.673078436278465678e-10 -3.331682624230225542e-08
1.699376198197117262e-10 -3.384050539789740242e-08
1.726087260000082333e-10 -3.437241419268488585e-08
1.753218200635973281e-10 -3.491268446564887995e-08
1.780775582257139043e-10 -3.546144666799477818e-08
1.808766117367962559e-10 -3.601883397097438433e-08
1.837196628112252924e-10 -3.658498304304202975e-08
1.866073972801980805e-10 -3.716003005305168472e-08
1.895405238673688437e-10 -3.774411633239438402e-08
1.925197594053837386e-10 -3.833738376757267474e-08
1.955458130649559014e-10 -3.893997468917831384e-08
1.986194390954084860e-10 -3.955203881078617201e-08
2.017413723901611487e-10 -4.017372257081319731e-08
2.049123736307395244e-10 -4.080517729265764615e-08
2.081332293256133464e-10 -4.144655951776599068e-08
2.114046973150925134e-10 -4.209802045851418484e-08
2.147275925612352963e-10 -4.275972237399727760e-08
2.181027202285147914e-10 -4.343182546939772237e-08
2.215308924399171203e-10 -4.411449139318790458e-08
2.250129559864702015e-10 -4.480788867722296231e-08
2.285497449094056315e-10 -4.551218368842313566e-08
2.321421285601038965e-10 -4.622754956606911492e-08
2.357909848994532117e-10 -4.695416078170921992e-08
2.394971811360185246e-10 -4.769219041911298973e-08
2.432616411931379416e-10 -4.844182233121330228e-08
2.470852713460630425e-10 -4.920323687374050792e-08
2.509689944470243145e-10 -4.997661767758287965e-08
2.549137749257366195e-10 -5.076215725541288748e-08
2.589205491908785919e-10 -5.156004156958715612e-08
2.629903056442224293e-10 -5.237046790673716146e-08
2.671240369274527721e-10 -5.319363355349437938e-08
2.713227324739442990e-10 -5.402973557444568087e-08
2.755874339471852225e-10 -5.487898191436357820e-08
2.799191623405212767e-10 -5.574157507792776300e-08
2.843189794887166255e-10 -5.661772700671363623e-08
2.887879582617280780e-10 -5.750765136314228698e-08
2.933271727891879542e-10 -5.841156186514595561e-08
2.979377402286565236e-10 -5.932968072386302083e-08
3.026207818794836460e-10 -6.026223164923294462e-08
3.073774211155647895e-10 -6.120943829568403771e-08
3.122088380901238238e-10 -6.217153541987485710e-08
3.171161868438972555e-10 -6.314875317103840757e-08
3.221006712575884218e-10 -6.414133091325879832e-08
3.271635144799969187e-10 -6.514951245151223702e-08
3.323059195906194075e-10 -6.617353726090513533e-08
3.375291630286471110e-10 -6.721365930495437624e-08
3.428345044502651771e-10 -6.827013032673079351e-08
3.482232335855944101e-10 -6.934320556650774847e-08
3.536966716530498151e-10 -7.043314947940970683e-08
3.592561340578682759e-10 -7.154022363398127027e-08
3.649029806208978358e-10 -7.266469836952893502e-08
3.706385981364607652e-10 -7.380685046465274013e-08
3.764643502342979798e-10 -7.496695109132645030e-08
3.823816876664685961e-10 -7.614528918509222422e-08
3.883920299517576228e-10 -7.734214724219867776e-08
3.944968383692279686e-10 -7.855781658516747257e-08
