1.999999960000000691e-08 3.332864286582677416e-01 -2.344880470600367516e+03
2.005696111945185823e-08 3.332862950903705546e-01 -2.344878451785288689e+03
2.011408531905781089e-08 3.332861611411228608e-01 -2.344876449610869713e+03
2.017137058074856382e-08 3.332860268143207905e-01 -2.344874402489974273e+03
2.022881996956004550e-08 3.332858921027770926e-01 -2.344872385392440719e+03
2.028643396100052177e-08 3.332857570053778806e-01 -2.344870343061452786e+03
2.034421003452259545e-08 3.332856215280353696e-01 -2.344868318563887897e+03
2.040215147581734829e-08 3.332854856630452778e-01 -2.344866253501369101e+03
2.046025892369677973e-08 3.332853494089105806e-01 -2.344864205862767903e+03
2.051853054508964251e-08 3.332852127699313383e-01 -2.344862163053624499e+03
2.057696824999345554e-08 3.332850757416294107e-01 -2.344860098138015019e+03
2.063557338496342145e-08 3.332849383208479899e-01 -2.344858028641722285e+03
2.069434480765550093e-08 3.332848005102674316e-01 -2.344855954476696752e+03
2.075328302641436660e-08 3.332846623086967441e-01 -2.344853846073347086e+03
2.081239011030395889e-08 3.332845237112846415e-01 -2.344851789215534154e+03
2.087166561858517258e-08 3.332843847190660735e-01 -2.344849675270339958e+03
2.093110864175585778e-08 3.332842453341752220e-01 -2.344847574388546491e+03
2.099072197582199365e-08 3.332841055500561089e-01 -2.344845456126342015e+03
2.105050589062877558e-08 3.332839653660771284e-01 -2.344843360414587551e+03
2.111045804223408070e-08 3.332838247877366045e-01 -2.344841231896361478e+03
2.117058195972913594e-08 3.332836838067592677e-01 -2.344839115415513334e+03
2.123087813839322005e-08 3.332835424219849352e-01 -2.344836983391028753e+03
2.129134428334483494e-08 3.332834006387967452e-01 -2.344834840420747241e+03
2.135198315959690179e-08 3.332832584507116613e-01 -2.344832721734525876e+03
2.141279577338292500e-08 3.332831158553708484e-01 -2.344830564257952574e+03
2.147378053912864937e-08 3.332829728564943861e-01 -2.344828384065956925e+03
2.153493878447394988e-08 3.332828294509697642e-01 -2.344826270973862847e+03
2.159627225528122252e-08 3.332826856347040900e-01 -2.344824083789056658e+03
2.165778009097003205e-08 3.332825414097166927e-01 -2.344821907016227669e+03
2.171946215546674572e-08 3.332823967763283157e-01 -2.344819706727782432e+03
2.178132094444854328e-08 3.332822517286873065e-01 -2.344817521890261560e+03
2.184335633974006135e-08 3.332821062670720536e-01 -2.344815358859730168e+03
2.190556670592547549e-08 3.332819603953193210e-01 -2.344813153066829727e+03
2.196795531315084086e-08 3.332818141057614092e-01 -2.344810956681856169e+03
2.203052266962396477e-08 3.332816673972078259e-01 -2.344808736040929489e+03
2.209326598726076357e-08 3.332815202761983953e-01 -2.344806528156664626e+03
2.215618894916560622e-08 3.332813727340971366e-01 -2.344804300558357681e+03
2.221929219468350752e-08 3.332812247694058594e-01 -2.344802089145356149e+03
2.228257366200847443e-08 3.332810763869614168e-01 -2.344799835196566619e+03
2.234603555854552777e-08 3.332809275815883931e-01 -2.344797580948059021e+03
2.240967927988866728e-08 3.332807783500151833e-01 -2.344795343313410285e+03
2.247350351890565179e-08 3.332806286953088337e-01 -2.344793083815924547e+03
2.253750896327869846e-08 3.332804786158579669e-01 -2.344790828784636687e+03
2.260169779000037813e-08 3.332803281065584988e-01 -2.344788551909406578e+03
2.266606945416551852e-08 3.332801771686899062e-01 -2.344786286419798671e+03
2.273062310464229061e-08 3.332800258042495911e-01 -2.344784032107190797e+03
2.279536170621023162e-08 3.332798740062861698e-01 -2.344781730130983306e+03
2.286028549427382326e-08 3.332797217742489715e-01 -2.344779424270824165e+03
2.292539204397174117e-08 3.332795691138261684e-01 -2.344777133028454955e+03
2.299068512830098980e-08 3.332794160161710595e-01 -2.344774820384982831e+03
2.305616529021744067e-08 3.332792624800116621e-01 -2.344772504800341721e+03
2.312182996107172125e-08 3.332791085113735452e-01 -2.344770184655787943e+03
2.318768228165556449e-08 3.332789541028923219e-01 -2.344767846752944479e+03
2.325372327762258112e-08 3.332787992521643594e-01 -2.344765534018704784e+03
2.331995116111593747e-08 3.332786439633839137e-01 -2.344763186047081490e+03
2.338636750197686385e-08 3.332784882328711507e-01 -2.344760841480131148e+03
2.345297413653831299e-08 3.332783320563208473e-01 -2.344758486812996580e+03
2.351977006484834049e-08 3.332781754360798487e-01 -2.344756129950396826e+03
2.358675526261606303e-08 3.332780183722065526e-01 -2.344753768128342017e+03
2.365393237999671762e-08 3.332778608584874847e-01 -2.344751394203290602e+03
2.372130122260547750e-08 3.332777028953802234e-01 -2.344749007498986884e+03
