1.999999960000001022e-08 3.332981475848015296e-01 -1.759101772961759934e+03
2.005691262803201355e-08 3.332980474690228623e-01 -1.759100730349482319e+03
2.011398799429306271e-08 3.332979470677351341e-01 -1.759099664980747548e+03
2.017122422191275998e-08 3.332978463835372662e-01 -1.759098594438215059e+03
2.022862432986141834e-08 3.332977454111185067e-01 -1.759097559522936308e+03
2.028618871038625785e-08 3.332976441497895181e-01 -1.759096472511007960e+03
2.034391478846667964e-08 3.332975426040808431e-01 -1.759095390239180233e+03
2.040180614645444571e-08 3.332974407676910222e-01 -1.759094316930108334e+03
2.045986326213066604e-08 3.332973386397800053e-01 -1.759093214912729763e+03
2.051808385504146062e-08 3.332972362243603603e-01 -1.759092162634642591e+03
2.057647066646088797e-08 3.332971335166101112e-01 -1.759091069270766866e+03
2.063502465405536667e-08 3.332970305148448831e-01 -1.759089993779309680e+03
2.069374407206073010e-08 3.332969272221368295e-01 -1.759088891523400434e+03
2.075263058239504089e-08 3.332968236355626779e-01 -1.759087788675458114e+03
2.081168569766531456e-08 3.332967197524620562e-01 -1.759086703533080708e+03
2.087090821792568143e-08 3.332966155749465531e-01 -1.759085620804887185e+03
2.093029869791799011e-08 3.332965111020410043e-01 -1.759084496155673605e+03
2.098985922589161622e-08 3.332964063300720703e-01 -1.759083408070780479e+03
2.104958915992681962e-08 3.332963012601698471e-01 -1.759082275637375005e+03
2.110948792583789532e-08 3.332961958933451374e-01 -1.759081188145581336e+03
2.116955819565424958e-08 3.332960902248976454e-01 -1.759080078875351546e+03
2.122979989017206490e-08 3.332959842549675922e-01 -1.759078949080278335e+03
2.129021128985684026e-08 3.332958779865805576e-01 -1.759077837275226102e+03
2.135079566162744853e-08 3.332957714139899719e-01 -1.759076667757706218e+03
2.141155350211082765e-08 3.332956645363227555e-01 -1.759075567417454977e+03
2.147248192788087203e-08 3.332955573586522946e-01 -1.759074435909022213e+03
2.153358480097912322e-08 3.332954498741848015e-01 -1.759073292722247743e+03
2.159486263052438241e-08 3.332953420820254919e-01 -1.759072165979110423e+03
2.165631308575395573e-08 3.332952339862754743e-01 -1.759071023029170419e+03
2.171793890032528881e-08 3.332951255821259839e-01 -1.759069891042027166e+03
2.177974116501044276e-08 3.332950168676591107e-01 -1.759068743084402286e+03
2.184171812201460379e-08 3.332949078459676029e-01 -1.759067599863416945e+03
2.190387135370179204e-08 3.332947985142686309e-01 -1.759066411630664334e+03
2.196620254632101877e-08 3.332946888695962895e-01 -1.759065270986277255e+03
2.202871051627677069e-08 3.332945789140334680e-01 -1.759064112141783426e+03
2.209139567973208760e-08 3.332944686468488626e-01 -1.759062961330026610e+03
2.215426032632348078e-08 3.332943580640150283e-01 -1.759061778759887602e+03
2.221730386214411131e-08 3.332942471665776285e-01 -1.759060609801349074e+03
2.228052550566700983e-08 3.332941359559121741e-01 -1.759059409730421066e+03
2.234392817109507185e-08 3.332940244268925989e-01 -1.759058240274386435e+03
2.240751185588700665e-08 3.332939125795241764e-01 -1.759057075454620872e+03
2.247127457902129481e-08 3.332938004172928403e-01 -1.759055880457411149e+03
2.253521986686613102e-08 3.332936879339952752e-01 -1.759054701690524780e+03
2.259934824418440950e-08 3.332935751287092740e-01 -1.759053519921038742e+03
